word,trans,kk,level
abandon,放棄,/əˈbændən/,3
absolute,絕對的,/ˈæbsəˌlut/,3
academic,學術的,/ˌækəˈdɛmɪk/,3
accent,口音；重音,/ˈæksɛnt/,3
accurate,準確的,/ˈækjərət/,3
accuse,指控；控告,/əˈkjuz/,3
acid,酸性的；酸,/ˈæsɪd/,3
acknowledge,承認；感謝,/əkˈnɑlɪdʒ/,3
acquire,獲得；取得,/əˈkwaɪr/,3
adapt,適應；改編,/əˈdæpt/,3
adequate,足夠的；適當的,/ˈædɪkwət/,3
adjust,調整；調節,/əˈdʒʌst/,3
administration,管理；行政,/ədˌmɪnəˈstreʃən/,3
adopt,採納；領養,/əˈdɑpt/,3
advanced,先進的；高級的,/ədˈvænst/,3
advantage,優勢；有利條件,/ədˈvæntɪdʒ/,3
adventure,冒險；奇遇,/ədˈvɛntʃər/,3
agency,機構；代理處,/ˈedʒənsi/,3
agenda,議程；待辦事項,/əˈdʒɛndə/,3
alcohol,酒精；酒層,/ˈælkəˌhɔl/,3
word,trans,kk,level
bachelor,學士；單身漢,/ˈbætʃələr/,3
balance,平衡；結餘,/ˈbæləns/,3
balloon,氣球,/bəˈlun/,3
barely,僅僅；幾乎不,/ˈbɛrli/,3
bargain,特價品；討價還價,/ˈbɑrɡən/,3
barrier,障礙；屏障,/ˈbæriər/,3
basin,盆地；水盆,/ˈbesn/,3
battery,電池,/ˈbætəri/,3
beam,光線；橫梁,/bim/,3
behalf,代表；利益,/bɪˈhæf/,3
belly,肚子；腹部,/ˈbɛli/,3
belong,屬於,/bɪˈlɔŋ/,3
beneath,在...之下,/bɪˈniθ/,3
beneficial,有益的；有利的,/ˌbɛnəˈfɪʃəl/,3
benefit,利益；好處,/ˈbɛnəfɪt/,3
besides,此外；除...之外,/bɪˈsaɪdz/,3
betray,背叛；洩漏,/bɪˈtre/,3
beware,當心；提防,/bɪˈwɛr/,3
bid,出價；投標,/bɪd/,3
blanket,毛毯；厚層,/ˈblæŋkɪt/,3
word,trans,kk,level
cabinet,櫥櫃；內閣,/ˈkæbɪnət/,3
calculate,計算；估算,/ˈkælkjəˌlet/,3
cancel,取消；撤銷,/ˈkænsəl/,3
candidate,候選人,/ˈkændəˌdet/,3
capable,有能力的；能夠的,/ˈkepəbəl/,3
capacity,容量；能力,/kəˈpæsəti/,3
capital,首都；資本,/ˈkæpɪtəl/,3
capture,捕獲；俘虜,/ˈkæptʃər/,3
carbon,碳,/ˈkɑrbən/,3
career,職業；生涯,/kəˈrɪr/,3
cargo,貨物,/ˈkɑrɡo/,3
carpet,地毯,/ˈkɑrpɪt/,3
carriage,馬車；運費,/ˈkærɪdʒ/,3
casual,休閒的；偶然的,/ˈkæʒuəl/,3
catalog,目錄,/ˈkætəlɔɡ/,3
category,種類；類別,/ˈkætəˌɡɔri/,3
caution,小心；警告,/ˈkɔʃən/,3
cease,停止；終止,/sis/,3
celebrate,慶祝,/ˈsɛləˌbret/,3
cement,水泥,/sɪˈmɛnt/,3
word,trans,kk,level
dairy,乳製品；牛奶廠,/ˈdɛri/,3
damage,損害；毀壞,/ˈdæmɪdʒ/,3
damp,潮濕的,/dæmp/,3
dare,敢；膽敢,/dɛr/,3
dawn,黎明；破曉,/dɔn/,3
dazzle,使目眩；耀眼,/ˈdæzəl/,3
debate,辯論；討論,/dɪˈbet/,3
debt,債務；欠款,/dɛt/,3
decade,十年,/ˈdɛkɛd/,3
decay,腐爛；衰退,/dɪˈke/,3
deceive,欺騙；瞞過,/dɪˈsiv/,3
declare,宣告；宣佈,/dɪˈklɛr/,3
decline,下降；拒絕,/dɪˈklaɪn/,3
decorate,裝飾；佈置,/ˈdɛkəˌret/,3
decrease,減少；降低,/dɪˈkris/,3
dedicate,奉獻；致力於,/ˈdɛdəˌket/,3
defeat,擊敗；戰勝,/dɪˈfit/,3
defend,防守；保衛,/dɪˈfɛnd/,3
define,定義；解釋,/dɪˈfaɪn/,3
defy,違抗；蔑視,/dɪˈfaɪ/,3
word,trans,kk,level
eager,渴望的；熱切的,/ˈiɡər/,3
earnings,收入；薪水,/ˈɜrnɪŋz/,3
earthquake,地震,/ˈɜrθˌkwek/,3
echo,回音；共鳴,/ˈɛko/,3
economy,經濟；節約,/ɪˈkɑnəmi/,3
edition,版本；版次,/əˈdɪʃən/,3
educate,教育；培養,/ˈɛdʒəˌket/,3
effect,效果；影響,/ɪˈfɛkt/,3
efficient,效率高的；生效的,/ɪˈfɪʃənt/,3
effort,努力；成就,/ˈɛfərt/,3
eject,彈出；驅逐,/ɪˈdʒɛkt/,3
elaborate,精心製作的；詳盡的,/ɪˈlæbəˌret/,3
elect,選舉；推選,/ɪˈlɛkt/,3
electric,電的；帶電的,/ɪˈlɛktrɪk/,3
elegant,優雅的；高雅的,/ˈɛləɡənt/,3
element,元素；要素,/ˈɛləmənt/,3
elevate,舉起；提高,/ˈɛləˌvet/,3
eliminate,消除；排除,/ɪˈlɪməˌnet/,3
embarrass,使尷尬；使難堪,/ɪmˈbɛrəs/,3
embrace,擁抱；包含,/ɪmˈbres/,3
word,trans,kk,level
fabric,織物；布料,/ˈfæbrɪk/,3
fabulous,極好的；傳說中的,/ˈfæbjələs/,3
facility,設施；設備,/fəˈsɪləti/,3
factor,因素；要素,/ˈfæktər/,3
faculty,全體教職員；才能,/ˈfækəlti/,3
faint,昏厥；微弱的,/fent/,3
fairy,仙女；精靈,/ˈfɛri/,3
faith,信念；信心,/feθ/,3
fake,假的；偽造品,/fek/,3
fame,名聲；名望,/fem/,3
famished,非常飢餓的,/ˈfæmɪst/,3
fare,票價；車費,/fɛr/,3
fascinate,入迷；深深吸引,/ˈfæsəˌnet/,3
fatal,致命的；毀滅性的,/ˈfetl/,3
fatigue,疲勞；勞累,/fəˈtig/,3
feasible,可行的；行得通的,/ˈfizəbəl/,3
feature,特色；特徵,/ˈfitʃər/,3
feeble,虛弱的；微弱的,/ˈfibəl/,3
fellow,夥伴；同輩,/ˈfɛlo/,3
fertile,肥沃的；富饒的,/ˈfɜrtl/,3


